level,area,party,seats,percentage
province,barcelona,csqp,9,10.588235294117647
province,barcelona,jxsi,32,37.64705882352941
province,barcelona,cup,7,8.235294117647058
province,barcelona,cs,17,20.0
province,barcelona,psc,12,14.117647058823529
province,barcelona,ppc,8,9.411764705882353
province,girona,csqp,1,5.88235294117647
province,girona,jxsi,11,64.70588235294117
province,girona,cup,1,5.88235294117647
province,girona,cs,2,11.76470588235294
province,girona,psc,1,5.88235294117647
province,girona,ppc,1,5.88235294117647
province,lleida,csqp,0,0.0
province,lleida,jxsi,10,66.66666666666666
province,lleida,cup,1,6.666666666666667
province,lleida,cs,2,13.333333333333334
province,lleida,psc,1,6.666666666666667
province,lleida,ppc,1,6.666666666666667
province,tarragona,csqp,1,5.555555555555555
province,tarragona,jxsi,9,50.0
province,tarragona,cup,1,5.555555555555555
province,tarragona,cs,4,22.22222222222222
province,tarragona,psc,2,11.11111111111111
province,tarragona,ppc,1,5.555555555555555
overall,catalonia,jxsi,62,45.925925925925924
overall,catalonia,cs,25,18.51851851851852
overall,catalonia,psc,16,11.851851851851853
overall,catalonia,csqp,11,8.148148148148149
overall,catalonia,ppc,11,8.148148148148149
overall,catalonia,cup,10,7.4074074074074066
