party,constituency,votes,seats
pp,balears,162863,3
up,balears,117812,2
psoe,balears,93279,2
cs,balears,67612,1
erc,catalunya,629294,12
psoe,catalunya,558033,10
cdc,catalunya,481839,9
pp,catalunya,462637,9
cs,catalunya,378445,7
up,euskadi,333730,6
pnv,euskadi,286215,5
psoe,euskadi,163628,3
ehbildu,euskadi,152782,2
pp,euskadi,147639,2
pp,galicia,643827,11
psoe,galicia,345253,5
up,galicia,344143,5
cs,galicia,133938,2
pp,navarra,106434,2
up,navarra,94555,2
psoe,navarra,57952,1
pp,rest,5465387,85
psoe,rest,3668581,57
up,rest,3503599,50
cs,rest,2096279,23
cc,rest,80748,1
pp,valencia,917398,12
up,valencia,655895,9
psoe,valencia,537983,7
cs,valencia,386826,5
