party,constituency,votes
podemos,catalunya,927940
erc,catalunya,599289
psoe,catalunya,589021
dl,catalunya,565501
cs,catalunya,489503
pp,catalunya,417286
unio,catalunya,64726
upyd,catalunya,7897
vox,catalunya,491
abstention,catalunya,1543242
pp,balears,140542
podemos,balears,111416
psoe,balears,88542
cs,balears,71446
mes,balears,33931
iu,balears,11434
upyd,balears,2277
abstention,balears,260429
pnv,euskadi,301585
podemos,euskadi,316441
psoe,euskadi,161466
ehbildu,euskadi,183611
pp,euskadi,141556
cs,euskadi,49887
iu,euskadi,36220
upyd,euskadi,4048
abstention,euskadi,490309
pp,galicia,605178
podemos,galicia,408370
psoe,galicia,347942
cs,galicia,147910
nos,galicia,70464
upyd,galicia,8380
vox,galicia,1239
abstention,galicia,611692
pp,navarra,101901
podemos,navarra,80961
psoe,navarra,54700
ehbildu,navarra,34856
gbai,navarra,30554
cs,navarra,24815
iu,navarra,14489
upyd,navarra,1444
abstention,navarra,123033
pp,valencia,837055
podemos,valencia,671071
psoe,valencia,530497
cs,valencia,423556
iu,valencia,112893
upyd,valencia,17250
vox,valencia,7239
abstention,valencia,825019
pp,rest,4972012
psoe,rest,3758525
podemos,rest,2673134
cs,rest,2293329
iu,rest,749750
cc,rest,83320
upyd,rest,112202
vox,rest,48764
abstention,rest,5426705
