province,demographic_group,party,percentage
barcelona,buss,jxcat,28.57
barcelona,buss,erc,17.14
barcelona,buss,cup,1.9
barcelona,buss,vox,0.0
barcelona,buss,cecp,4.5
barcelona,buss,psc,6.5
barcelona,buss,cs,24.0
barcelona,buss,ac,0.0
barcelona,buss,abstain,8.5
barcelona,buss,ppc,8.9
barcelona,buss,si,0.0
barcelona,ind,jxcat,8.5
barcelona,ind,erc,12.5
barcelona,ind,cup,1.2
barcelona,ind,vox,0.0
barcelona,ind,cecp,8.5
barcelona,ind,psc,17.5
barcelona,ind,cs,32.0
barcelona,ind,ac,0.0
barcelona,ind,abstain,17.5
barcelona,ind,ppc,2.3
barcelona,ind,si,0.0
barcelona,middle,jxcat,19.0
barcelona,middle,erc,22.5
barcelona,middle,cup,5.0
barcelona,middle,vox,0.0
barcelona,middle,cecp,10.0
barcelona,middle,psc,13.0
barcelona,middle,cs,18.5
barcelona,middle,ac,0.0
barcelona,middle,abstain,9.0
barcelona,middle,ppc,3.0
barcelona,middle,si,0.0
barcelona,retired,jxcat,18.91
barcelona,retired,erc,14.43
barcelona,retired,cup,0.4
barcelona,retired,vox,0.0
barcelona,retired,cecp,3.48
barcelona,retired,psc,18.41
barcelona,retired,cs,21.89
barcelona,retired,ac,0.0
barcelona,retired,abstain,16.92
barcelona,retired,ppc,5.57
barcelona,retired,si,0.0
barcelona,rural,jxcat,30.91
barcelona,rural,erc,27.27
barcelona,rural,cup,8.18
barcelona,rural,vox,0.0
barcelona,rural,cecp,3.64
barcelona,rural,psc,3.64
barcelona,rural,cs,4.55
barcelona,rural,ac,0.0
barcelona,rural,abstain,20.0
barcelona,rural,ppc,1.82
barcelona,rural,si,0.0
barcelona,unemployed,jxcat,5.5
barcelona,unemployed,erc,14.5
barcelona,unemployed,cup,2.5
barcelona,unemployed,vox,0.0
barcelona,unemployed,cecp,9.5
barcelona,unemployed,psc,17.0
barcelona,unemployed,cs,26.5
barcelona,unemployed,ac,0.0
barcelona,unemployed,abstain,22.0
barcelona,unemployed,ppc,2.5
barcelona,unemployed,si,0.0
barcelona,young,jxcat,8.0
barcelona,young,erc,23.0
barcelona,young,cup,10.5
barcelona,young,vox,0.0
barcelona,young,cecp,11.5
barcelona,young,psc,5.5
barcelona,young,cs,15.0
barcelona,young,ac,0.0
barcelona,young,abstain,25.0
barcelona,young,ppc,1.5
barcelona,young,si,0.0
girona,buss,jxcat,40.0
girona,buss,erc,15.0
girona,buss,cup,2.0
girona,buss,vox,0.0
girona,buss,cecp,3.0
girona,buss,psc,10.0
girona,buss,cs,15.0
girona,buss,ac,0.0
girona,buss,abstain,10.0
girona,buss,ppc,5.0
girona,buss,si,0.0
girona,ind,jxcat,21.0
girona,ind,erc,18.0
girona,ind,cup,4.0
girona,ind,vox,0.0
girona,ind,cecp,5.0
girona,ind,psc,8.0
girona,ind,cs,20.0
girona,ind,ac,0.0
girona,ind,abstain,22.0
girona,ind,ppc,2.0
girona,ind,si,0.0
girona,middle,jxcat,30.0
