province,demographic_group,sample_size,party,percentage
barcelona,buss,71,jxcat,28.2
barcelona,buss,71,erc,23.9
barcelona,buss,71,cup,7.0
barcelona,buss,71,vox,0.0
barcelona,buss,71,cecp,7.0
barcelona,buss,71,psc,8.5
barcelona,buss,71,ciu,0.0
barcelona,buss,71,cs,11.3
barcelona,buss,71,ac,0.0
barcelona,buss,71,abstain,11.3
barcelona,buss,71,ppc,1.4
barcelona,buss,71,si,0.0
barcelona,buss,71,icv,1.4
barcelona,ind,162,jxcat,10.5
barcelona,ind,162,erc,21.6
barcelona,ind,162,cup,4.3
barcelona,ind,162,vox,0.0
barcelona,ind,162,cecp,14.8
barcelona,ind,162,psc,13.0
barcelona,ind,162,ciu,0.0
barcelona,ind,162,cs,12.3
barcelona,ind,162,ac,0.0
barcelona,ind,162,abstain,20.4
barcelona,ind,162,ppc,1.2
barcelona,ind,162,si,0.0
barcelona,ind,162,icv,1.9
barcelona,middle,111,jxcat,19.8
barcelona,middle,111,erc,21.6
barcelona,middle,111,cup,6.3
barcelona,middle,111,vox,0.0
barcelona,middle,111,cecp,21.6
barcelona,middle,111,psc,10.8
barcelona,middle,111,ciu,0.0
barcelona,middle,111,cs,8.1
barcelona,middle,111,ac,0.0
barcelona,middle,111,abstain,7.2
barcelona,middle,111,ppc,0.9
barcelona,middle,111,si,0.0
barcelona,middle,111,icv,3.6
barcelona,retired,241,jxcat,22.0
barcelona,retired,241,erc,20.3
barcelona,retired,241,cup,2.1
barcelona,retired,241,vox,0.0
barcelona,retired,241,cecp,5.0
barcelona,retired,241,psc,14.1
barcelona,retired,241,ciu,0.0
barcelona,retired,241,cs,8.3
barcelona,retired,241,ac,0.0
barcelona,retired,241,abstain,23.2
barcelona,retired,241,ppc,2.5
barcelona,retired,241,si,0.0
barcelona,retired,241,icv,2.5
barcelona,rural,77,jxcat,19.5
barcelona,rural,77,erc,29.9
barcelona,rural,77,cup,10.4
barcelona,rural,77,vox,0.0
barcelona,rural,77,cecp,9.1
barcelona,rural,77,psc,5.2
barcelona,rural,77,ciu,0.0
barcelona,rural,77,cs,2.6
barcelona,rural,77,ac,0.0
barcelona,rural,77,abstain,23.4
barcelona,rural,77,ppc,0.0
barcelona,rural,77,si,0.0
barcelona,rural,77,icv,0.0
barcelona,unemployed,159,jxcat,11.3
barcelona,unemployed,159,erc,25.2
barcelona,unemployed,159,cup,5.0
barcelona,unemployed,159,vox,0.0
barcelona,unemployed,159,cecp,11.3
barcelona,unemployed,159,psc,17.0
barcelona,unemployed,159,ciu,0.0
barcelona,unemployed,159,cs,4.4
barcelona,unemployed,159,ac,0.0
barcelona,unemployed,159,abstain,20.1
barcelona,unemployed,159,ppc,2.5
barcelona,unemployed,159,si,0.0
barcelona,unemployed,159,icv,3.1
barcelona,young,147,jxcat,8.8
barcelona,young,147,erc,20.4
barcelona,young,147,cup,8.8
barcelona,young,147,vox,0.0
barcelona,young,147,cecp,17.0
barcelona,young,147,psc,4.1
barcelona,young,147,ciu,0.0
barcelona,young,147,cs,6.8
barcelona,young,147,ac,0.0
barcelona,young,147,abstain,31.3
barcelona,young,147,ppc,1.4
barcelona,young,147,si,0.0
barcelona,young,147,icv,1.4
girona,buss,4,jxcat,50.0
girona,buss,4,erc,0.0
girona,buss,4,cup,0.0
girona,buss,4,vox,0.0
girona,buss,4,cecp,0.0
girona,buss,4,psc,25.0
girona,buss,4,ciu,0.0
girona,buss,4,cs,0.0
girona,buss,4,ac,0.0
girona,buss,4,abstain,25.0
girona,buss,4,ppc,0.0
girona,buss,4,si,0.0
girona,buss,4,icv,0.0
girona,ind,26,jxcat,19.2
girona,ind,26,erc,15.4
girona,ind,26,cup,3.8
girona,ind,26,vox,0.0
girona,ind,26,cecp,11.5
girona,ind,26,psc,7.7
girona,ind,26,ciu,0.0
girona,ind,26,cs,7.7
girona,ind,26,ac,0.0
girona,ind,26,abstain,30.8
girona,ind,26,ppc,0.0
girona,ind,26,si,0.0
girona,ind,26,icv,3.8
girona,middle,5,jxcat,20.0
girona,middle,5,erc,20.0
girona,middle,5,cup,0.0
girona,middle,5,vox,0.0
girona,middle,5,cecp,40.0
girona,middle,5,psc,0.0
girona,middle,5,ciu,0.0
girona,middle,5,cs,0.0
girona,middle,5,ac,0.0
girona,middle,5,abstain,20.0
girona,middle,5,ppc,0.0
girona,middle,5,si,0.0
girona,middle,5,icv,0.0
girona,retired,35,jxcat,40.0
girona,retired,35,erc,11.4
girona,retired,35,cup,5.7
girona,retired,35,vox,0.0
girona,retired,35,cecp,2.9
girona,retired,35,psc,14.3
girona,retired,35,ciu,0.0
girona,retired,35,cs,2.9
girona,retired,35,ac,0.0
girona,retired,35,abstain,22.9
girona,retired,35,ppc,0.0
girona,retired,35,si,0.0
girona,retired,35,icv,0.0
girona,rural,34,jxcat,29.4
girona,rural,34,erc,26.5
girona,rural,34,cup,8.8
girona,rural,34,vox,0.0
girona,rural,34,cecp,5.9
girona,rural,34,psc,5.9
girona,rural,34,ciu,0.0
girona,rural,34,cs,2.9
girona,rural,34,ac,0.0
girona,rural,34,abstain,20.6
girona,rural,34,ppc,0.0
girona,rural,34,si,0.0
girona,rural,34,icv,0.0
girona,unemployed,11,jxcat,27.3
girona,unemployed,11,erc,9.1
girona,unemployed,11,cup,9.1
girona,unemployed,11,vox,0.0
girona,unemployed,11,cecp,18.2
girona,unemployed,11,psc,9.1
girona,unemployed,11,ciu,0.0
girona,unemployed,11,cs,18.2
girona,unemployed,11,ac,0.0
girona,unemployed,11,abstain,9.1
girona,unemployed,11,ppc,0.0
girona,unemployed,11,si,0.0
girona,unemployed,11,icv,0.0
girona,young,20,jxcat,30.0
girona,young,20,erc,10.0
girona,young,20,cup,10.0
girona,young,20,vox,0.0
girona,young,20,cecp,0.0
girona,young,20,psc,5.0
girona,young,20,ciu,0.0
girona,young,20,cs,0.0
girona,young,20,ac,0.0
girona,young,20,abstain,40.0
girona,young,20,ppc,5.0
girona,young,20,si,0.0
girona,young,20,icv,0.0
lleida,buss,3,jxcat,33.3
lleida,buss,3,erc,0.0
lleida,buss,3,cup,0.0
lleida,buss,3,vox,0.0
lleida,buss,3,cecp,0.0
lleida,buss,3,psc,0.0
lleida,buss,3,ciu,0.0
lleida,buss,3,cs,0.0
lleida,buss,3,ac,0.0
lleida,buss,3,abstain,66.7
lleida,buss,3,ppc,0.0
lleida,buss,3,si,0.0
lleida,buss,3,icv,0.0
lleida,ind,6,jxcat,16.7
lleida,ind,6,erc,33.3
lleida,ind,6,cup,0.0
lleida,ind,6,vox,0.0
lleida,ind,6,cecp,16.7
lleida,ind,6,psc,0.0
lleida,ind,6,ciu,0.0
lleida,ind,6,cs,0.0
lleida,ind,6,ac,0.0
lleida,ind,6,abstain,33.3
lleida,ind,6,ppc,0.0
lleida,ind,6,si,0.0
lleida,ind,6,icv,0.0
lleida,retired,24,jxcat,16.7
lleida,retired,24,erc,20.8
lleida,retired,24,cup,0.0
lleida,retired,24,vox,0.0
lleida,retired,24,cecp,0.0
lleida,retired,24,psc,16.7
lleida,retired,24,ciu,0.0
lleida,retired,24,cs,0.0
lleida,retired,24,ac,0.0
lleida,retired,24,abstain,41.7
lleida,retired,24,ppc,0.0
lleida,retired,24,si,0.0
lleida,retired,24,icv,4.2
lleida,rural,30,jxcat,43.3
lleida,rural,30,erc,26.7
lleida,rural,30,cup,0.0
lleida,rural,30,vox,0.0
lleida,rural,30,cecp,0.0
lleida,rural,30,psc,0.0
lleida,rural,30,ciu,0.0
lleida,rural,30,cs,0.0
lleida,rural,30,ac,0.0
lleida,rural,30,abstain,26.7
lleida,rural,30,ppc,3.3
lleida,rural,30,si,0.0
lleida,rural,30,icv,0.0
lleida,unemployed,12,jxcat,0.0
lleida,unemployed,12,erc,8.3
lleida,unemployed,12,cup,8.3
lleida,unemployed,12,vox,0.0
lleida,unemployed,12,cecp,0.0
lleida,unemployed,12,psc,33.3
lleida,unemployed,12,ciu,0.0
lleida,unemployed,12,cs,8.3
lleida,unemployed,12,ac,0.0
lleida,unemployed,12,abstain,33.3
lleida,unemployed,12,ppc,8.3
lleida,unemployed,12,si,0.0
lleida,unemployed,12,icv,0.0
lleida,young,10,jxcat,20.0
lleida,young,10,erc,40.0
lleida,young,10,cup,20.0
lleida,young,10,vox,0.0
lleida,young,10,cecp,0.0
lleida,young,10,psc,10.0
lleida,young,10,ciu,0.0
lleida,young,10,cs,10.0
lleida,young,10,ac,0.0
lleida,young,10,abstain,0.0
lleida,young,10,ppc,0.0
lleida,young,10,si,0.0
lleida,young,10,icv,0.0
tarragona,buss,10,jxcat,0.0
tarragona,buss,10,erc,30.0
tarragona,buss,10,cup,20.0
tarragona,buss,10,vox,0.0
tarragona,buss,10,cecp,10.0
tarragona,buss,10,psc,0.0
tarragona,buss,10,ciu,0.0
tarragona,buss,10,cs,0.0
tarragona,buss,10,ac,0.0
tarragona,buss,10,abstain,40.0
tarragona,buss,10,ppc,0.0
tarragona,buss,10,si,0.0
tarragona,buss,10,icv,0.0
tarragona,ind,14,jxcat,21.4
tarragona,ind,14,erc,28.6
tarragona,ind,14,cup,0.0
tarragona,ind,14,vox,0.0
tarragona,ind,14,cecp,0.0
tarragona,ind,14,psc,14.3
tarragona,ind,14,ciu,0.0
tarragona,ind,14,cs,21.4
tarragona,ind,14,ac,0.0
tarragona,ind,14,abstain,14.3
tarragona,ind,14,ppc,0.0
tarragona,ind,14,si,0.0
tarragona,ind,14,icv,0.0
tarragona,middle,8,jxcat,37.5
tarragona,middle,8,erc,0.0
tarragona,middle,8,cup,12.5
tarragona,middle,8,vox,0.0
tarragona,middle,8,cecp,0.0
tarragona,middle,8,psc,12.5
tarragona,middle,8,ciu,0.0
tarragona,middle,8,cs,37.5
tarragona,middle,8,ac,0.0
tarragona,middle,8,abstain,0.0
tarragona,middle,8,ppc,0.0
tarragona,middle,8,si,0.0
tarragona,middle,8,icv,0.0
tarragona,retired,39,jxcat,23.1
tarragona,retired,39,erc,5.1
tarragona,retired,39,cup,0.0
tarragona,retired,39,vox,0.0
tarragona,retired,39,cecp,2.6
tarragona,retired,39,psc,23.1
tarragona,retired,39,ciu,0.0
tarragona,retired,39,cs,5.1
tarragona,retired,39,ac,0.0
tarragona,retired,39,abstain,33.3
tarragona,retired,39,ppc,7.7
tarragona,retired,39,si,0.0
tarragona,retired,39,icv,0.0
tarragona,rural,38,jxcat,18.4
tarragona,rural,38,erc,47.4
tarragona,rural,38,cup,2.6
tarragona,rural,38,vox,0.0
tarragona,rural,38,cecp,2.6
tarragona,rural,38,psc,2.6
tarragona,rural,38,ciu,0.0
tarragona,rural,38,cs,5.3
tarragona,rural,38,ac,0.0
tarragona,rural,38,abstain,18.4
tarragona,rural,38,ppc,0.0
tarragona,rural,38,si,0.0
tarragona,rural,38,icv,2.6
tarragona,unemployed,20,jxcat,15.0
tarragona,unemployed,20,erc,25.0
tarragona,unemployed,20,cup,0.0
tarragona,unemployed,20,vox,0.0
tarragona,unemployed,20,cecp,0.0
tarragona,unemployed,20,psc,10.0
tarragona,unemployed,20,ciu,0.0
tarragona,unemployed,20,cs,5.0
tarragona,unemployed,20,ac,0.0
tarragona,unemployed,20,abstain,40.0
tarragona,unemployed,20,ppc,5.0
tarragona,unemployed,20,si,0.0
tarragona,unemployed,20,icv,0.0
tarragona,young,21,jxcat,9.5
tarragona,young,21,erc,19.0
tarragona,young,21,cup,9.5
tarragona,young,21,vox,0.0
tarragona,young,21,cecp,9.5
tarragona,young,21,psc,4.8
tarragona,young,21,ciu,4.8
tarragona,young,21,cs,9.5
tarragona,young,21,ac,0.0
tarragona,young,21,abstain,33.3
tarragona,young,21,ppc,0.0
tarragona,young,21,si,0.0
tarragona,young,21,icv,0.0
